CASE;LASTPAGE;TIME_RSI;Alter;KIattention;Ehrlichkeit_Rohwert;DS01;Erwerbstaetigkeit;Geschlecht;SD_Branche;SD_Branche_andere;SD_Leitung;BeruflicheBildung;SD_BeruflicheBildung_sonstiges;KIHaeufigkeit_privateNutzung;KIZeitraumPrivateNutzung;KI_beruflicheNutzung;KI_ZufriedenhMA;KI07_11a;KI12_07a;KISUWunsch;KIUFoerderung;KIWunsch_Guideline;KIWunsch_keineU;KIWunsch_Schulung;KIWunsch_Sonstiges;KIWunsch_UseCase;KIWunsch_Vernetzung;KIWunsch_Zugang;KIZweck;KIZweck_Bericht;KIZweck_Brain;KIZweck_Datenanalyse;KIZweck_Kreativ;KIZweck_Program;KIZweck_Recherche;KIZweck_Sonstiges;KIZweck_Tech;KIZweck_TechSup;KIZweck_Text;KIpos_01;KIpos_02;KIpos_04;KIpos_05;KIpos_07;KIpos_11;KIpos_12;KIpos_13;KIpos_14;KIpos_16;KIpos_17;KIpos_18;KIneg_03;KIneg_06;KIneg_08;KIneg_09;KIneg_10;KIneg_15;KIneg_19;KIneg_20;PMoffen1;PMoffen2;PMoffen3;PMoffen4;PMoffen5;PMoffen6;PMoffen7;PMoffen8;PMoffen9;PMoffen10;PMgewissen1;PMgewissen2;PMgewissen3;PMgewissen4;PMgewissen5;PMgewissen6;PMgewissen7;PMgewissen8;PMgewissen9;PMgewissen10;PMextra1;PMextra2;PMextra3;PMextra4;PMextra5;PMextra6;PMextra7;PMextra8;PMextra9;PMextra10;PMvertrag1;PMvertrag2;PMvertrag3;PMvertrag4;PMvertrag5;PMvertrag6;PMvertrag7;PMvertrag8;PMvertrag9;PMvertrag10;PMneuro1;PMneuro2;PMneuro3;PMneuro4;PMneuro5;PMneuro6;PMneuro7;PMneuro8;PMneuro9;PMneuro10;PMleistung1;PMleistung2;PMleistung3;PMleistung4;PMleistung5;PMleistung6;PMmacht1;PMmacht2;PMmacht3;PMmacht4;PMmacht5;PMmacht6;PMsicher1;PMsicher2;PMsicher3;PMsicher4;PMsicher5;PMsicher6;PMehrlich1;PMehrlich2;PMehrlich3;PMehrlich4;Offenheit;Gewissenhaftigkeit;Extraversion;Verträglichkeit;Neurotizismus;Leistungsmotiv;Machtmotiv;Sicherheitsmotiv;GAAIS_positiv;GAAIS_negativ;Offenheit_MEAN;Gewissenhaftigkeit_MEAN;Extraversion_MEAN;Verträglichkeit_MEAN;Neurotizismus_MEAN;Leistung_MEAN;Macht_MEAN;Sicherheit_MEAN;Ehrlichkeit_MEAN;GAAIS_negativ_MEAN;GAAIS_positiv_MEAN
299;13;1,53;37;4;8;2;1;2;5; ;1;4; ;5;1;4;1; ; ;3; ;2;1;1;1;1;2;2;5;2;2;2;1;1;2;1;1;1;2;5;5;5;5;5;5;5;5;5;5;5;5;1;1;2;1;1;1;2;1;2;4;4;2;2;3;2;3;4;4;4;4;4;4;3;1;4;4;2;3;3;4;4;2;4;2;2;1;3;4;4;4;4;4;4;4;2;4;4;4;3;1;4;3;3;2;2;1;4;4;3;4;2;3;4;4;2;3;1;2;4;1;3;3;3;4;4;4;1;2;2;3;28;33;29;38;27;20;13;21;60;10;3,11111111111111;3,3;2,9;3,8;2,7;3,33333333333333;2,16666666666667;3,5;2;1,25;5
306;13;,93;39;4;8;2;1;1;7; ;1;2; ;5;4;2;2; ;Gesetze;1; ;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;4;5;4;5;5;5;4;5;5;5;5;5;4;5;5;5;5;5;5;3;1;2;2;1;3;2;1;2;3;4;2;3;2;2;3;1;1;3;2;2;2;4;2;1;1;2;2;2;3;3;4;4;4;3;3;3;2;2;4;4;1;1;2;4;3;2;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;2;4;1;3;1;3;2;2;18;21;22;33;21;6;6;18;57;37;2;2,1;2,2;3,3;2,1;1;1;3;2;4,625;4,75
332;13;1,06;52;4;8;2;1;2;7; ;1;2; ;2;1;1;2; ; ;5; ;2;1;2;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ;4;2;1;3;1;1;4;2;4;3;3;2;2;1;1;1;1;2;3;3;3;3;3;2;2;3;2;2;2;3;3;3;1;2;2;3;2;3;2;3;3;3;3;2;2;3;2;3;2;2;4;3;3;4;4;3;4;3;3;3;2;2;2;2;3;3;2;2;2;2;2;2;2;3;1;1;2;4;2;2;2;1;3;3;2;3;4;4;1;1;3;3;23;24;25;34;22;11;13;19;30;14;2,55555555555556;2,4;2,5;3,4;2,2;1,83333333333333;2,16666666666667;3,16666666666667;2;1,75;2,5
358;13;1,33;61;4;8;2;1;2;7; ;1;4; ;2;2;2;3; ; ;3; ;1;1;2;1;1;2;2;4;2;2;1;1;1;2;1;1;1;2;4;4;4;5;4;4;4;5;5;4;4;4;2;3;4;2;2;2;2;3;3;3;3;4;3;3;3;3;2;3;3;3;2;2;2;2;2;3;2;2;3;3;3;2;3;3;2;2;3;3;3;3;3;4;2;3;2;2;3;3;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;3;3;3;2;3;1;2;2;3;27;23;27;28;22;12;9;16;51;20;3;2,3;2,7;2,8;2,2;2;1,5;2,66666666666667;2;2,5;4,25
365;13;1,09;36;4;8;2;1;2;6; ;1;4; ;3;2;4;3; ; ;1; ;1;1;1;1;2;1;1;4;1;2;1;1;1;2;1;1;2;2;2;5;3;4;4;4;4;2;4;3;4;4;4;4;1;4;2;4;4;4;2;4;1;2;4;4;3;1;2;1;4;4;3;4;3;4;4;4;3;3;4;4;4;3;4;4;3;3;4;4;4;4;4;3;4;4;3;3;3;3;1;2;2;3;3;3;1;3;2;2;4;3;1;3;4;1;1;1;2;1;4;1;3;4;3;3;2;4;1;1;3;3;20;36;37;35;22;16;10;19;43;27;2,22222222222222;3,6;3,7;3,5;2,2;2,66666666666667;1,66666666666667;3,16666666666667;2;3,375;3,58333333333333
442;13;1,31;23;4;8;2;1;2;6; ;1;2; ;2;2;3;3; ; ;2; ;1;1;2;1;2;1;1;2;2;1;1;1;1;1;1;1;1;2;1;4;3;4;3;4;3;2;4;2;4;3;3;4;3;5;2;4;3;5;2;4;1;1;2;3;1;1;2;1;4;4;3;2;2;4;3;4;2;3;3;2;2;1;3;3;2;2;2;2;4;4;3;3;4;4;3;3;2;4;3;3;2;3;2;3;2;3;4;3;2;1;1;1;1;1;1;1;1;1;2;1;4;4;3;4;4;4;2;1;2;3;16;31;22;34;28;7;7;23;37;29;1,77777777777778;3,1;2,2;3,4;2,8;1,16666666666667;1,16666666666667;3,83333333333333;2;3,625;3,08333333333333
548;13;1,03;30;4;8;2;1;2;4; ;1;4; ;5;2;4;2; ; ;3; ;1;1;2;1;2;1;2;5;1;2;2;2;1;2;1;1;1;2;5;5;4;5;5;4;5;4;5;3;4;5;3;4;2;3;4;5;4;5;3;3;2;2;3;3;1;3;1;3;3;3;4;4;3;2;3;3;3;3;4;4;4;2;3;4;2;1;4;4;4;4;3;4;4;4;2;4;4;3;2;2;3;3;3;3;1;2;3;2;2;2;1;2;2;1;1;1;1;1;2;1;4;4;3;4;3;4;2;1;2;3;21;31;32;36;24;10;7;22;54;30;2,33333333333333;3,1;3,2;3,6;2,4;1,66666666666667;1,16666666666667;3,66666666666667;2;3,75;4,5
708;13;,8;42;4;8;2;1;1;6; ;1;3; ;5;2;5;3; ; ;3; ;2;1;1;1;1;2;2;5;2;2;2;1;1;2;1;1;1;2;3;5;3;5;5;4;4;5;5;5;4;5;4;4;4;4;4;4;4;2;3;4;4;3;3;3;3;4;3;3;3;3;1;3;1;1;1;2;2;1;4;4;4;2;4;4;3;2;4;4;4;4;4;4;4;3;3;4;4;2;3;2;3;4;3;1;1;3;3;3;1;2;1;3;2;3;2;3;3;2;2;1;2;2;1;2;2;3;2;2;1;3;30;18;35;36;26;12;13;12;53;30;3,33333333333333;1,8;3,5;3,6;2,6;2;2,16666666666667;2;2;3,75;4,41666666666667
713;13;,96;32;4;8;2;1;1;7; ;2;4; ;4;2;4;3; ; ;3; ;1;1;2;1;2;2;1;4;2;2;1;2;1;1;1;1;1;2;4;5;4;5;5;5;5;3;5;3;4;5;2;2;4;3;2;5;4;3;3;3;4;3;4;4;3;3;4;2;4;4;2;3;3;3;4;4;3;4;3;3;3;1;3;3;2;1;4;3;4;4;4;4;4;3;3;4;4;4;2;1;1;2;3;1;1;1;2;2;3;1;1;2;2;1;2;3;1;2;3;1;3;3;2;4;3;2;2;3;1;2;29;34;26;38;16;10;12;17;53;25;3,22222222222222;3,4;2,6;3,8;1,6;1,66666666666667;2;2,83333333333333;2;3,125;4,41666666666667
717;13;,62;54;4;8;2;1;2;6; ;1;2; ;2;1;3;3;Übersetzung; ;1; ;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;3;4;3;3;3;3;4;3;3;2;3;3;3;3;3;2;3;3;2;3;1;3;2;3;2;1;1;3;4;3;2;3;2;3;2;3;2;1;4;4;4;2;4;4;2;1;4;4;4;4;4;4;4;4;2;3;3;3;1;2;2;3;2;3;2;2;3;2;2;1;2;1;1;1;1;2;1;2;2;1;3;3;2;3;2;3;1;2;2;3;19;25;33;35;22;8;9;16;35;23;2,11111111111111;2,5;3,3;3,5;2,2;1,33333333333333;1,5;2,66666666666667;2;2,875;2,91666666666667
726;13;1,39;35;4;8;2;1;1;6; ;1;3; ;4;3;4;3; ; ;1; ;1;2;1;1;1;1;1;4;1;1;2;1;1;2;1;1;2;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;2;2;2;3;1;3;2;2;4;3;3;3;3;2;3;3;3;3;2;2;2;2;3;2;2;1;2;2;3;3;3;3;3;3;2;3;3;3;2;2;2;2;3;2;2;2;2;2;3;3;2;2;3;2;2;2;3;3;3;2;3;3;3;3;3;3;2;2;2;2;20;30;20;29;21;15;15;18;47;32;2,22222222222222;3;2;2,9;2,1;2,5;2,5;3;2;4;3,91666666666667
739;13;,44;26;4;8;2;1;1;6; ;1;4; ;4;4;4;2;Übersetzung; ;2; ;1;1;2;1;1;1;2;2;1;1;1;1;1;2;2;1;1;1;5;5;4;5;5;5;5;5;5;4;4;4;4;5;4;4;4;4;4;4;3;4;4;3;4;4;3;3;3;4;4;4;4;4;4;2;4;3;3;4;3;4;4;4;3;3;4;1;4;4;4;4;3;4;4;4;4;2;3;4;1;1;3;2;4;2;2;2;2;1;4;4;4;3;4;4;4;4;4;4;3;2;3;4;2;2;3;3;1;2;2;3;31;36;34;36;20;23;21;17;56;33;3,44444444444444;3,6;3,4;3,6;2;3,83333333333333;3,5;2,83333333333333;2;4,125;4,66666666666667
775;13;,7;52;4;8;2;1;2;6; ;2;4; ;4;2;4;3; ; ;3; ;2;1;1;1;2;2;1;4;2;2;1;1;1;2;1;1;1;2;3;5;4;4;4;4;4;4;4;3;4;4;3;3;3;4;3;4;4;3;3;2;2;2;3;3;2;3;2;2;4;3;2;4;3;2;2;3;3;2;3;2;2;3;2;3;1;2;3;3;4;4;3;4;3;3;2;3;4;4;2;2;2;3;3;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;3;2;3;1;2;3;3;3;1;2;2;3;21;28;24;34;23;14;13;15;47;27;2,33333333333333;2,8;2,4;3,4;2,3;2,33333333333333;2,16666666666667;2,5;2;3,375;3,91666666666667
812;13;1,58;22;4;8;2;1;2;1; ;1;3; ;4;3;2;3; ; ;1; ;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;4;3;2;5;4;2;4;3;4;2;4;3;4;3;2;5;3;3;4;4;4;4;3;1;4;4;2;2;1;3;4;4;2;4;2;1;4;2;2;3;3;3;2;2;2;2;2;1;3;3;4;3;4;3;3;3;1;2;3;3;1;1;1;2;1;1;1;1;3;1;3;2;2;3;2;1;1;2;1;2;3;1;3;3;2;3;2;3;1;1;2;4;24;28;23;29;13;13;10;16;40;28;2,66666666666667;2,8;2,3;2,9;1,3;2,16666666666667;1,66666666666667;2,66666666666667;2;3,5;3,33333333333333
813;13;,69;28;4;8;2;1;2;4; ;1;4; ;5;3;5;4;Übersetzung; ;1; ;1;2;1;1;1;1;1;6;1;2;1;1;2;2;2;1;2;2;4;5;4;5;5;5;5;4;5;4;2;5;3;1;2;1;1;2;3;3;4;4;3;4;3;4;3;3;3;3;4;4;4;3;4;2;3;4;2;1;4;3;3;2;3;3;3;3;4;4;4;4;3;3;4;4;2;3;4;3;3;2;2;3;4;2;1;2;3;2;4;2;1;2;3;1;1;2;2;2;2;1;3;4;3;4;2;3;1;2;2;3;31;31;32;34;24;13;10;19;53;16;3,44444444444444;3,1;3,2;3,4;2,4;2,16666666666667;1,66666666666667;3,16666666666667;2;2;4,41666666666667
821;13;,65;56;4;8;2;1;2;8;Chemische Industrie;1;3; ;1; ;1;1; ; ;1;1;1;1;2;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ;1;4;2;4;1;5;4;2;4;4;2;1;3;4;1;2;1;2;1;2;2;3;3;1;1;3;2;1;3;3;3;3;1;3;3;2;4;3;2;2;2;1;3;1;1;2;1;1;1;1;4;3;3;4;4;4;3;3;3;3;3;3;4;3;4;3;3;4;3;3;1;3;3;1;1;1;1;1;1;1;1;1;4;4;3;4;2;4;1;3;2;2;21;26;14;34;33;10;6;21;34;16;2,33333333333333;2,6;1,4;3,4;3,3;1,66666666666667;1;3,5;2;2;2,83333333333333
830;13;,98;37;4;8;2;1;1;8;Energieversorgung;2;4; ;5;3;5;3; ; ;5; ;2;1;2;1;2;2;2;3;1;2;1;1;1;2;1;1;1;2;3;4;2;4;5;5;5;4;4;3;4;5;3;2;5;4;4;5;5;2;3;4;4;3;3;4;3;4;3;3;3;3;3;3;4;2;3;2;3;2;4;3;4;2;3;3;3;2;4;4;4;4;4;4;4;3;4;3;4;3;1;1;2;2;3;2;1;1;2;1;2;1;1;1;1;1;1;1;1;1;3;1;2;4;3;3;3;3;1;3;2;2;31;28;32;37;16;7;8;18;48;30;3,44444444444444;2,8;3,2;3,7;1,6;1,16666666666667;1,33333333333333;3;2;3,75;4
897;13;1,01;29;4;8;2;1;2;6; ;1;4; ;4;3;2;3; ; ;1; ;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;1;1;2;4;5;5;5;5;5;5;4;4;5;4;4;4;3;4;2;4;4;4;2;4;3;4;2;2;3;3;1;2;3;4;4;3;4;3;3;3;3;3;4;4;3;4;1;3;4;4;2;3;3;4;4;4;4;4;4;3;3;4;3;3;2;2;3;3;3;3;3;2;2;2;1;1;2;1;1;1;1;2;1;1;1;4;4;3;3;3;4;2;1;2;3;25;34;31;37;26;8;7;21;55;27;2,77777777777778;3,4;3,1;3,7;2,6;1,33333333333333;1,16666666666667;3,5;2;3,375;4,58333333333333
900;13;,76;42;4;8;2;1;2;6; ;2;2; ;2;1;2;3; ; ;1; ;1;2;1;1;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;4;2;4;2;2;3;2;4;2;2;3;4;2;3;2;2;2;3;2;4;4;2;2;4;4;3;3;2;3;4;4;3;3;4;2;4;4;3;3;3;3;3;2;2;2;3;2;3;3;4;4;3;3;4;4;4;3;3;3;1;2;2;2;2;2;2;3;2;2;3;2;2;2;4;2;2;3;3;3;4;2;3;3;2;2;2;3;1;2;1;4;27;34;26;35;20;15;17;15;31;20;3;3,4;2,6;3,5;2;2,5;2,83333333333333;2,5;2;2,5;2,58333333333333
360;13;1,33;22;4;9;2;1;2;1; ;1;5;Studiere aktuell;5;3;5;3; ;IT;1; ;1;1;1;2;1;1;1;7;2;2;2;2;1;2;1;1;2;2;2;3;4;5;4;4;4;3;4;3;4;4;2;2;3;1;2;2;3;3;2;4;2;3;3;4;2;4;4;3;3;3;2;3;4;4;3;3;4;2;4;4;4;3;3;3;1;1;4;4;4;4;4;3;4;4;4;2;4;3;1;1;2;2;3;3;2;1;2;1;4;2;1;2;3;1;2;2;1;2;3;3;3;4;2;2;1;3;2;1;3;3;28;31;31;36;18;13;13;15;44;18;3,11111111111111;3,1;3,1;3,6;1,8;2,16666666666667;2,16666666666667;2,5;2,25;2,25;3,66666666666667
383;13;,93;35;4;9;2;1;1;7; ;2;2; ;3;3;2;1; ; ;3; ;2;1;2;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;3;4;1;2;3;2;3;3;3;1;3;3;1;1;4;5;1;2;1;1;4;4;1;3;4;4;4;1;4;4;4;4;2;3;4;3;4;4;3;3;3;4;3;2;3;3;4;3;4;3;4;4;3;4;3;4;3;3;3;3;2;2;3;3;4;2;1;2;2;2;2;2;2;3;2;3;4;4;2;3;2;2;4;4;3;4;4;4;1;2;2;4;29;34;32;34;23;14;17;23;31;16;3,22222222222222;3,4;3,2;3,4;2,3;2,33333333333333;2,83333333333333;3,83333333333333;2,25;2;2,58333333333333
459;13;1,16;20;4;9;2;1;2;4; ;1;1; ;4;3;4;3; ; ;2; ;1;1;1;1;1;2;2;3;1;2;1;1;1;2;1;1;1;2;4;4;3;4;4;4;4;3;5;3;4;4;3;1;3;4;2;3;4;4;3;3;2;2;2;3;1;2;2;2;4;3;4;4;3;4;4;4;2;2;4;3;4;2;3;3;3;4;4;4;4;4;4;4;3;4;3;3;4;3;2;2;3;2;4;2;2;2;2;3;4;2;2;3;3;1;1;1;1;2;1;1;3;3;2;3;2;4;2;2;3;2;20;34;34;36;24;15;7;17;46;24;2,22222222222222;3,4;3,4;3,6;2,4;2,5;1,16666666666667;2,83333333333333;2,25;3;3,83333333333333
474;13;1,05;30;4;9;2;1;2;1; ;1;4; ;5;2;2;2;Übersetzung;Tägliche to dos;1; ;1;1;1;2;1;1;1;4;1;2;1;1;1;1;2;1;2;2;2;4;4;4;4;4;4;5;4;1;4;4;3;1;2;1;1;2;3;2;2;3;3;2;1;3;2;1;1;3;4;4;3;3;3;2;3;3;3;3;2;2;3;2;2;2;3;1;2;2;3;4;3;2;3;3;3;2;3;3;2;3;2;3;3;3;2;3;3;3;2;2;2;3;3;1;1;2;1;2;2;2;3;4;3;3;3;4;2;2;2;3;20;31;21;29;27;13;10;20;44;15;2,22222222222222;3,1;2,1;2,9;2,7;2,16666666666667;1,66666666666667;3,33333333333333;2,25;1,875;3,66666666666667
